Paquete;Version;Ruta
absl-py;2.2.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
addict;2.4.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
altgraph;0.17.4;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
auto-py-to-exe;2.46.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
basicsr;1.4.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
bottle;0.13.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
bottle-websocket;0.2.9;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
certifi;2025.4.26;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
cffi;1.17.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
charset-normalizer;3.4.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
colorama;0.4.6;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
contourpy;1.3.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
cycler;0.12.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
Eel;0.18.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
facexlib;0.3.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
filelock;3.18.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
filterpy;1.4.5;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
fonttools;4.57.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
fsspec;2025.3.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
future;1.0.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
gevent;25.5.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
gevent-websocket;0.10.1;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
gfpgan;1.3.8;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
greenlet;3.2.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
grpcio;1.71.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
idna;3.10;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
imageio;2.37.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
Jinja2;3.1.6;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
kiwisolver;1.4.8;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
lazy_loader;0.4;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
llvmlite;0.44.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
lmdb;1.6.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
Markdown;3.8;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
MarkupSafe;3.0.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
matplotlib;3.10.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
mpmath;1.3.0;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
networkx;3.4.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
Nuitka;2.7.3;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
numba;0.61.2;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
numpy;2.2.6;C:\Users\jfauc\Desktop\CIENCIA DE DATOS e IA\CUATRIMESTRE 5\Procesamiento de Imagenes\TPF\venv\Lib\site-packages
